ADDRID,CLUSTER_,�..OBJECTID,Name,ADDRESS
285441,Cluster 3,1,9:30 CLUB,815 V STREET NW
55416,Cluster 22,2,AQUA,1818 NEW YORK AVENUE NE
218319,Cluster 6,3,ARCHIBALD'S,1520 K STREET NW
285834,Cluster 27,4,BACHELOR'S MILL,1104 8TH STREET SE
278097,Cluster 8,5,BAR 7,1015 1/2 7TH STREET NW
278813,Cluster 6,6,BARCODE,1101 17TH STREET NW
240469,Cluster 3,7,BLACK CAT ,1811 14TH STREET NW
273839,Cluster 4,8,BLUES ALLEY,1073 WISCONSIN AVENUE NW
235591,Cluster 1,9,BOSSA BISTRO & LOUNGE,2463 18TH STREET NW
285509,Cluster 6,10,CAFÉ CITRON,1343 CONNECTICUT AVENUE NW
242770,Cluster 6,11,CAFÉ JAPONE,2032 P STREET NW
241271,Cluster 6,12,CAMELOT SHOW BAR,1823 M STREET NW
240647,Cluster 8,13,CAPITALE,1301 K STREET NW
278137,Cluster 26,14,CAPITOL LOUNGE ,229 PENNSYLVANIA AVENUE SE
226300,Cluster 6,15,CHI CHA LOUNGE,1624 U STREET NW
235940,Cluster 1,16,CHIEF IKE'S MAMBO ROOM,1725 COLUMBIA ROAD NW
308910,Cluster 6,17,CITIES,919 19TH STREET NW
243123,Cluster 6,18,COLBALT,1639 R STREET NW
285560,Cluster 8,19,CUBA LIBRE,801 9TH STREET NW
286671,Cluster 22,20,DC STAR,2135 QUEENS CHAPEL ROAD NE
279498,Cluster 3,21,DC9,1940 9TH STREET NW
241771,Cluster 6,22,DIRTY BAR,1223 CONNECTICUT AVENUE NW
241771,Cluster 6,23,DIRTY MARTINI,1223 CONNECTICUT AVENUE NW
218139,Cluster 1,24,DISTRICT,2473 18TH STREET NW
286671,Cluster 22,25,ECHOSTAGE,2135 QUEENS CHAPEL ROAD NE
279328,Cluster 6,26,EDEN,1716 I STREET NW
241288,Cluster 6,27,EIGHTEENTH STREET LOUNGE,1212 18TH STREET NW
279328,Cluster 6,28,EYEBAR,1716 I STREET NW
239179,Cluster 3,29,FATBACK,2001 11TH STREET NW
37072,Cluster 25,30,FUR,33 PATTERSON STREET NE
218136,Cluster 1,31,GRAND CENTRAL,2447 18TH STREET NW
235389,Cluster 1,32,HABANA VILLAGE,1834 COLUMBIA ROAD NW
235600,Cluster 1,33,HEAVEN & HELL,2327 18TH STREET NW
303475,Cluster 6,34,HEIST,1802 JEFFERSON PLACE NW
149707,Cluster 25,35,HR-57,1007 H STREET NE
70970,Cluster 25,36,IBIZA,1222 1ST STREET NE
218050,Cluster 3,37,INDULJ,1208 U STREET NW
307130,Cluster 8,38,JOSEPHINE,1008 VERMONT AVENUE NW
279096,Cluster 6,39,KABIN,1337 CONNECTICUT AVENUE NW
302277,Cluster 4,40,L2 LOUNGE,3315 CADY'S ALLEY NW
240265,Cluster 8,41,LIMA,1401 K STREET NW
74492,Cluster 25,42,LITTLE MISS WHISKEY'S GOLDEN DOLLAR,1104 H STREET NE
239179,Cluster 3,43,LIV NIGHTCLUB,2001 11TH STREET NW
240357,Cluster 3,44,LOST SOCIETY,2001 14TH STREET NW
240271,Cluster 8,45,LOTUS LOUNGE,1420 K STREET NW
66106,Cluster 23,46,LOVE,1350 OKIE STREET NE
218713,Cluster 8,47,LUX LOUNGE,649 NEW YORK AVENUE NW
309094,Cluster 6,48,M.I.A,1214 18TH STREET NW
243295,Cluster 6,49,MADHATTER,1319 CONNECTICUT AVENUE NW
235590,Cluster 1,50,MADAM'S ORGAN,2461 18TH STREET NW
241771,Cluster 6,51,MCCXXIII-SPANK,1223 CONNECTICUT AVENUE NW
278950,Cluster 6,52,MIDTOWN PARTYPLEX,1219 CONNECTICUT AVENUE NW
238948,Cluster 8,53,MUSE LOUNGE,717 6TH STREET NW
279247,Cluster 6,54,ONE LOUNGE,1606 20TH STREET NW
217995,Cluster 8,55,OPERA ULTRALOUNGE,1400 I STREET NW
243139,Cluster 6,56,OZIO,1813 M STREET NW
240268,Cluster 8,57,PANORAMA,1424 K STREET NW
240356,Cluster 3,58,PATTY BOOM BOOM,1359 U STREET NW
241860,Cluster 6,59,Penthouse Pool Club,1612 U STREET NW
11125,Cluster 26,60,PHASE 1,525 8TH STREET SE
